x1,y1,x2,y2
-9,-1,-6,-1
-8.75,-1,-5.75,-1
-8.5,-1,-5.5,-1
-8.25,-1,-5.25,-1
-8,-1,-5,-1
-7.75,-1,-4.75,-0.996917
-7.5,-1,-4.5,-0.987688
-7.25,-1,-4.25,-0.97237
-7,-1,-4,-0.951057
-6.75,-1,-3.75,-0.92388
-6.5,-1,-3.5,-0.891007
-6.25,-1,-3.25,-0.85264
-6,-1,-3,-0.809017
-5.75,-1,-2.75,-0.760406
-5.5,-1,-2.5,-0.707107
-5.25,-1,-2.25,-0.649448
-5,-1,-2,-0.587785
-4.75,-1,-1.75,-0.522499
-4.5,-1,-1.5,-0.45399
-4.25,-1,-1.25,-0.382683
-4,-1,-1,-0.309017
-3.75,-1,-0.75,-0.233445
-3.5,-1,-0.5,-0.156434
-3.25,-1,-0.25,-0.0784591
-3,-1,0,0
-2.75,-1,0.25,0.0784591
-2.5,-1,0.5,0.156434
-2.25,-1,0.75,0.233445
-2,-1,1,0.309017
-1.75,-1,1.25,0.382683
-1.5,-1,1.5,0.45399
-1.25,-1,1.75,0.522499
-1,-1,2,0.587785
-0.75,-1,2.25,0.649448
-0.5,-1,2.5,0.707107
-0.25,-1,2.75,0.760406
0,-1,3,0.809017
0.25,-1,3.25,0.85264
0.5,-1,3.5,0.891007
0.75,-1,3.75,0.92388
1,-1,4,0.951057
1.25,-1,4.25,0.97237
1.5,-1,4.5,0.987688
1.75,-1,4.75,0.996917
2,-1,5,1
